match_id,home_name,away_name,league,match_date,home_goals,away_goals,total_goals,goal_diff,ah_line,fav_side,line_mag,ticks,zone,ou_line,ah_outcome,ah_payout,ah_fav_covered,ou_outcome,ou_payout,ah_open,ah_close,ah_delta,delta_ticks,h2h_stadium_cover,h2h_general_cover,prev_home_shots_diff,prev_home_sot_diff,prev_home_danger_diff,prev_home_attacks_diff,prev_home_wdl,prev_away_shots_diff,prev_away_sot_diff,prev_away_danger_diff,prev_away_attacks_diff,prev_away_wdl,ind_local_localia,ind_local_ah,ind_local_danger_diff,ind_visitante_localia,ind_visitante_ah,ind_visitante_danger_diff,home_rank,away_rank,rank_diff,prev_home_danger_diff_bin,prev_away_danger_diff_bin,ind_local_danger_diff_bin,ind_visitante_danger_diff_bin,ticks_bin,delta_bin
2682023,Dire Dawa,Shire Endaselassie FC,Ethiopia Premier League,10/20/2024,1,1,2,0,0.0,HOME,0.0,0,PICK_EM,2.25,P,0.0,0,UNDER_HW,0.5,0.0,0.0,0.0,0,,,-2,2,-24,-12,W,4,5,-2,-9,D,A,0.25,-15,,,0,99,99,0,muy_neg,neutro,neg,neutro,low,drop
2674789,Welwalo Adigrat,Sidama Bunna,Ethiopia Premier League,10/3/2024,0,1,1,-1,-0.75,AWAY,0.75,3,MUST_WIN,2.25,L,-1.0,-1,UNDER_W,1.0,-0.75,-0.75,0.0,0,,NO_COVER,-2,-1,-12,-19,L,1,3,-2,-9,W,,,0,A,0.5,-59,99,99,0,neg,neutro,neutro,muy_neg,mid,drop
2680717,Hadiya Hossana,Hawassa City FC,Ethiopia Premier League,10/19/2024,1,2,3,-1,0.25,HOME,0.25,1,PICK_EM,2.25,L,-1.0,-1,OVER_W,1.0,0.0,0.25,0.25,1,COVER,COVER,3,-1,-15,-16,L,-7,-4,2,-9,L,A,0.25,24,A,0.5,0,99,99,0,neg,neutro,muy_pos,neutro,low,rise
2681383,Ethiopia Nigd Bank,Kedus Giorgis,Ethiopia Premier League,10/20/2024,2,3,5,-1,0.25,HOME,0.25,1,PICK_EM,2.25,L,-1.0,-1,OVER_W,1.0,0.0,0.25,0.25,1,NO_COVER,NO_COVER,5,3,11,2,W,-4,0,-53,-4,W,H,0.75,-22,,,0,99,99,0,pos,muy_neg,muy_neg,neutro,low,rise
2682170,Ethio Electric FC,Bahir Dar Kenema FC,Ethiopia Premier League,10/22/2024,1,0,1,1,-0.5,AWAY,0.5,2,MUST_WIN,2.0,W,1.0,1,UNDER_W,1.0,-0.5,-0.5,0.0,0,,,0,0,0,0,,2,1,12,19,W,,,0,,,0,99,99,0,neutro,pos,neutro,neutro,low,drop
2681989,Adama City,Fasil Kenema,Ethiopia Premier League,10/21/2024,1,1,2,0,0.0,HOME,0.0,0,PICK_EM,2.25,P,0.0,0,UNDER_HW,0.5,-0.25,0.0,0.25,1,PUSH,PUSH,4,0,3,20,L,4,4,-2,-1,W,H,-0.25,-59,H,0.25,-2,99,99,0,neutro,neutro,muy_neg,neutro,low,rise
2681988,Wolaita Dicha,Ethiopia Bunna,Ethiopia Premier League,10/21/2024,2,1,3,1,-0.75,AWAY,0.75,3,MUST_WIN,2.25,HW,0.5,1,OVER_W,1.0,0.0,-0.75,-0.75,-3,NO_COVER,NO_COVER,-1,-1,-29,-20,L,-1,-1,21,10,W,H,0.25,12,,,0,99,99,0,muy_neg,muy_pos,pos,neutro,mid,strong_drop
2682175,Sidama Bunna,Ethiopian Insurance FC,Ethiopia Premier League,10/22/2024,1,0,1,1,0.25,HOME,0.25,1,PICK_EM,1.75,W,1.0,1,UNDER_W,1.0,0.25,0.25,0.0,0,COVER,COVER,-1,-1,19,37,L,-2,2,16,10,W,H,0.0,53,H,0.25,-48,99,99,0,pos,pos,muy_pos,muy_neg,low,drop
2682459,Dire Dawa,Mekelle 70 Enderta FC,Ethiopia Premier League,10/24/2024,2,3,5,-1,0.25,HOME,0.25,1,PICK_EM,2.0,L,-1.0,-1,OVER_W,1.0,0.25,0.25,0.0,0,,,3,2,32,27,D,0,0,0,0,W,A,0.75,52,,,0,99,99,0,muy_pos,neutro,muy_pos,neutro,low,drop
2693230,Dire Dawa,Hawassa City FC,Ethiopia Premier League,11/23/2024,1,0,1,1,0.25,HOME,0.25,1,PICK_EM,2.25,W,1.0,1,UNDER_W,1.0,0.25,0.25,0.0,0,NO_COVER,NO_COVER,1,0,28,73,L,5,-1,26,10,L,H,0.25,65,A,0.25,-47,99,99,0,muy_pos,muy_pos,muy_pos,muy_neg,low,drop
2682460,Ethiopia Nigd Bank,Fasil Kenema,Ethiopia Premier League,10/24/2024,1,1,2,0,0.25,HOME,0.25,1,PICK_EM,2.25,HW,0.5,1,UNDER_HW,0.5,0.25,0.25,0.0,0,COVER,COVER,6,-1,14,29,L,6,3,60,66,D,H,0.5,-9,A,0.25,-2,99,99,0,pos,muy_pos,neg,neutro,low,drop
